Province/State,Country/Region,Date,Metric,Count
"British Columbia","Canada",2020-03-14,Confirmed,64
"Illinois","US",2020-03-14,Confirmed,64
"Texas","US",2020-03-14,Confirmed,57
"Pennsylvania","US",2020-03-14,Confirmed,47
"Diamond Princess","US",2020-03-14,Confirmed,46
"Virginia","US",2020-03-14,Confirmed,41
"Oregon","US",2020-03-14,Confirmed,32
"Tennessee","US",2020-03-14,Confirmed,32
"Alberta","Canada",2020-03-14,Confirmed,29
"Wisconsin","US",2020-03-14,Confirmed,27
"Maryland","US",2020-03-14,Confirmed,26
"Ohio","US",2020-03-14,Confirmed,26
"Michigan","US",2020-03-14,Confirmed,25
"North Carolina","US",2020-03-14,Confirmed,24
"Connecticut","US",2020-03-14,Confirmed,22
"Minnesota","US",2020-03-14,Confirmed,21
"Nevada","US",2020-03-14,Confirmed,21
"Rhode Island","US",2020-03-14,Confirmed,20
"South Carolina","US",2020-03-14,Confirmed,19
"Quebec","Canada",2020-03-14,Confirmed,17
"Iowa","US",2020-03-14,Confirmed,17
"Indiana","US",2020-03-14,Confirmed,16
"Kentucky","US",2020-03-14,Confirmed,14
"Nebraska","US",2020-03-14,Confirmed,14
"Arizona","US",2020-03-14,Confirmed,12
"Arkansas","US",2020-03-14,Confirmed,12
"District of Columbia","US",2020-03-14,Confirmed,10
"New Mexico","US",2020-03-14,Confirmed,10
"Utah","US",2020-03-14,Confirmed,10
"South Dakota","US",2020-03-14,Confirmed,9
"Kansas","US",2020-03-14,Confirmed,8
"New Hampshire","US",2020-03-14,Confirmed,7
"Alabama","US",2020-03-14,Confirmed,6
"Delaware","US",2020-03-14,Confirmed,6
"Mississippi","US",2020-03-14,Confirmed,6
"Montana","US",2020-03-14,Confirmed,5
"Vermont","US",2020-03-14,Confirmed,5
"Manitoba","Canada",2020-03-14,Confirmed,4
"Hawaii","US",2020-03-14,Confirmed,4
"Missouri","US",2020-03-14,Confirmed,4
"Oklahoma","US",2020-03-14,Confirmed,4
"Maine","US",2020-03-14,Confirmed,3
"Puerto Rico","US",2020-03-14,Confirmed,3
"Saskatchewan","Canada",2020-03-14,Confirmed,2
"Idaho","US",2020-03-14,Confirmed,2
"Wyoming","US",2020-03-14,Confirmed,2
"New Brunswick","Canada",2020-03-14,Confirmed,1
"North Dakota","US",2020-03-14,Confirmed,1
"West Virginia","US",2020-03-14,Confirmed,0
"New York","US",2020-03-15,Confirmed,732
"Washington","US",2020-03-15,Confirmed,643
"California","US",2020-03-15,Confirmed,426
"Massachusetts","US",2020-03-15,Confirmed,164
"Florida","US",2020-03-15,Confirmed,115
"Ontario","Canada",2020-03-15,Confirmed,104
"Colorado","US",2020-03-15,Confirmed,131
"Georgia","US",2020-03-15,Confirmed,99
"Louisiana","US",2020-03-15,Confirmed,91
"New Jersey","US",2020-03-15,Confirmed,98
"British Columbia","Canada",2020-03-15,Confirmed,73
"Illinois","US",2020-03-15,Confirmed,93
"Texas","US",2020-03-15,Confirmed,72
"Pennsylvania","US",2020-03-15,Confirmed,66
"Diamond Princess","US",2020-03-15,Confirmed,46
"Virginia","US",2020-03-15,Confirmed,45
"Alberta","Canada",2020-03-15,Confirmed,39
"Oregon","US",2020-03-15,Confirmed,36
"Minnesota","US",2020-03-15,Confirmed,35
"Michigan","US",2020-03-15,Confirmed,33
"North Carolina","US",2020-03-15,Confirmed,33
"Tennessee","US",2020-03-15,Confirmed,39
"Maryland","US",2020-03-15,Confirmed,32
"Ohio","US",2020-03-15,Confirmed,37
"Wisconsin","US",2020-03-15,Confirmed,32
"Quebec","Canada",2020-03-15,Confirmed,24
"Connecticut","US",2020-03-15,Confirmed,24
"Utah","US",2020-03-15,Confirmed,28
"Nevada","US",2020-03-15,Confirmed,24
"Indiana","US",2020-03-15,Confirmed,20
"Rhode Island","US",2020-03-15,Confirmed,20
"South Carolina","US",2020-03-15,Confirmed,28
"Iowa","US",2020-03-15,Confirmed,18
"Kentucky","US",2020-03-15,Confirmed,20
"Nebraska","US",2020-03-15,Confirmed,17
"Arkansas","US",2020-03-15,Confirmed,16
"District of Columbia","US",2020-03-15,Confirmed,16
"New Mexico","US",2020-03-15,Confirmed,13
"Alabama","US",2020-03-15,Confirmed,12
"Arizona","US",2020-03-15,Confirmed,13
"South Dakota","US",2020-03-15,Confirmed,9
"Kansas","US",2020-03-15,Confirmed,8
"Montana","US",2020-03-15,Confirmed,7
"New Hampshire","US",2020-03-15,Confirmed,13
"Delaware","US",2020-03-15,Confirmed,7
"Hawaii","US",2020-03-15,Confirmed,6
"Maine","US",2020-03-15,Confirmed,12
"Mississippi","US",2020-03-15,Confirmed,10
"Idaho","US",2020-03-15,Confirmed,5
"Missouri","US",2020-03-15,Confirmed,5
"Vermont","US",2020-03-15,Confirmed,8
"Manitoba","Canada",2020-03-15,Confirmed,4
"Oklahoma","US",2020-03-15,Confirmed,7
"Guam","US",2020-03-15,Confirmed,3
